Quarter,Ticker,Stock,%,Change,Unnamed: 0,Income_Revenue,Income_Cost Of Goods Sold,Income_Gross Profit,Income_Research And Development Expenses,Income_SG&A Expenses,Income_Other Operating Income Or Expenses,Income_Operating Expenses,Income_Operating Income,Income_Total Non-Operating Income/Expense,Income_Pre-Tax Income,Income_Income Taxes,Income_Income After Taxes,Income_Other Income,Income_Income From Continuous Operations,Income_Income From Discontinued Operations,Income_Net Income,Income_EBITDA,Income_EBIT,Income_Basic EPS,Income_EPS - Earnings Per Share,Balance_Cash On Hand,Balance_Receivables,Balance_Inventory,Balance_Pre-Paid Expenses,Balance_Other Current Assets,Balance_Total Current Assets,"Balance_Property, Plant, And Equipment",Balance_Long-Term Investments,Balance_Goodwill And Intangible Assets,Balance_Other Long-Term Assets,Balance_Total Long-Term Assets,Balance_Total Assets,Balance_Total Current Liabilities,Balance_Long Term Debt,Balance_Other Non-Current Liabilities,Balance_Total Long Term Liabilities,Balance_Total Liabilities,Balance_Common Stock Net,Balance_Retained Earnings (Accumulated Deficit),Balance_Comprehensive Income,Balance_Other Share Holders Equity,Balance_Share Holder Equity,Balance_Total Liabilities And Share Holders Equity,CashFlow_Net Income/Loss,CashFlow_Total Depreciation And Amortization - Cash Flow,CashFlow_Other Non-Cash Items,CashFlow_Total Non-Cash Items,CashFlow_Change In Accounts Receivable,CashFlow_Change In Inventories,CashFlow_Change In Accounts Payable,CashFlow_Change In Assets/Liabilities,CashFlow_Total Change In Assets/Liabilities,CashFlow_Cash Flow From Operating Activities,"CashFlow_Net Change In Property, Plant, And Equipment",CashFlow_Net Change In Intangible Assets,CashFlow_Net Acquisitions/Divestitures,CashFlow_Net Change In Short-term Investments,CashFlow_Net Change In Long-Term Investments,CashFlow_Net Change In Investments - Total,CashFlow_Investing Activities - Other,CashFlow_Cash Flow From Investing Activities,CashFlow_Net Long-Term Debt,CashFlow_Net Current Debt,CashFlow_Debt Issuance/Retirement Net - Total,CashFlow_Net Common Equity Issued/Repurchased,CashFlow_Net Total Equity Issued/Repurchased,CashFlow_Total Common And Preferred Stock Dividends Paid,CashFlow_Financial Activities - Other,CashFlow_Cash Flow From Financial Activities,CashFlow_Net Cash Flow,CashFlow_Stock-Based Compensation,CashFlow_Common Stock Dividends Paid,StockPrice,Annual_Basic_EPS,PER,ROI,Operating_Margin,Gross_Margin,Net_Profit_Margin,ROE,Current_Ratio,Debt_to_Equity,EBITDA_Margin
2017 Q1,VRSK,VERISK ANALYTICS INC,0.08%,0,2017-03-31,503,183,320,0,75.9,0,132,188,-26.5,161,52.4,109,0,109,0,109,245,188,0.65,0.64,159,302,0,25,28.2,514,378,0,3681,161,4235,4749,672,2281,80.3,2691,3363,0.1,2862,-616.9,0,1386,4749,555,242,-39.7,202,-45.5,0,0,-19.2,-13.5,744,-183.5,0,-914.9,0,0,0,-7.1,-1105.5,0,615,615,-241.3,-241.3,0,-11.2,363,7.2,31.8,0,77.95581055,3.61,21.59440735,0.0229522,0.373757455,0.636182903,0.216699801,0.078643579,0.764880952,2.426406926,0.487077535
2017 Q2,VRSK,VERISK ANALYTICS INC,0.08%,0,2017-06-30,523,194,330,0,78.8,0,135,195,-25.1,170,48.9,121,0,121,0,121,252,195,0.73,0.72,144,319,0,39.2,20.8,523,404,0,3786,170,4376,4899,737,2277,81.5,2696,3433,0.1,2983,-526.4,0,1466,4899,555,242,-39.7,202,-45.5,0,0,-19.2,-13.5,744,-183.5,0,-914.9,0,0,0,-7.1,-1105.5,0,615,615,-241.3,-241.3,0,-11.2,363,7.2,31.8,0,81.05906677,2.78,29.15793769,0.024698918,0.372848948,0.630975143,0.231357553,0.082537517,0.70963365,2.341746248,0.481835564
2017 Q3,VRSK,VERISK ANALYTICS INC,0.07%,0,2017-09-30,549,199,351,0,80.9,0,142,208,-27.7,181,60,121,0,121,0,121,271,208,0.73,0.72,146,320,0,42.4,36.5,545,438,0,4445,184,5084,5628,1203,2279,89.6,2753,3956,0.1,3103,-443.3,0,1673,5628,555,242,-39.7,202,-45.5,0,0,-19.2,-13.5,744,-183.5,0,-914.9,0,0,0,-7.1,-1105.5,0,615,615,-241.3,-241.3,0,-11.2,363,7.2,31.8,0,79.925354,2.75,29.06376509,0.021499645,0.378870674,0.639344262,0.220400729,0.072325164,0.453034081,2.364614465,0.493624772
2017 Q4,VRSK,VERISK ANALYTICS INC,0.08%,0,2017-12-31,570,209,362,0,87.2,0,152,210,-30.9,179,-25.4,205,0,205,0,205,276,210,1.25,1.21,142,374,0,38.1,42.9,598,478,0,4714,215,5423,6020,1338,2284,135,2757,4095,0.1,3308,-412.3,0,1925,6020,555,242,-39.7,202,-45.5,0,0,-19.2,-13.5,744,-183.5,0,-914.9,0,0,0,-7.1,-1105.5,0,615,615,-241.3,-241.3,0,-11.2,363,7.2,31.8,0,92.23265076,3.36,27.45019368,0.034053156,0.368421053,0.635087719,0.359649123,0.106493506,0.446935725,2.127272727,0.484210526
2018 Q1,VRSK,VERISK ANALYTICS INC,0.02%,-1,2018-03-31,581,221,360,0,91.8,0,166,195,-32.2,162,29.3,133,0,133,0,133,269,195,0.81,0.79,154,432,0,52.6,70.2,709,489,0,4811,222,5538,6247,1558,2041,107,2505,4063,0.1,3477,-309.3,0,2184,6247,599,300,50.5,351,-17.4,0,0,-52.9,-15.1,934,-231,0,-153.1,0,0,0,119,-265.4,0,-300,-300,-351.3,-351.3,0,-18.5,-669.8,-2.8,38.5,0,99.91871643,3.52,28.38599899,0.021290219,0.335628227,0.619621343,0.228915663,0.060897436,0.455070603,1.860347985,0.462994836
2018 Q2,VRSK,VERISK ANALYTICS INC,0.00%,-1,2018-06-30,601,222,379,0,93,0,167,212,-27.3,185,31.5,154,0,154,0,154,287,212,0.93,0.91,136,370,0,61.1,58,625,502,0,4662,235,5415,6040,1466,2044,106,2500,3966,0.1,3630,-474.2,0,2074,6040,599,300,50.5,351,-17.4,0,0,-52.9,-15.1,934,-231,0,-153.1,0,0,0,119,-265.4,0,-300,-300,-351.3,-351.3,0,-18.5,-669.8,-2.8,38.5,0,103.4158859,3.72,27.79996933,0.025496689,0.352745424,0.630615641,0.256239601,0.074252652,0.42633015,1.912246866,0.477537438
2013 Q2,VRSN,VERISIGN INC,0.53%,1,2013-06-30,239,46.63,193,16.9,43.72,0,60.62,132,-13.65,118,31.54,86.89,0,86.89,0,86.89,147,132,0.58,0.55,1997,13.56,0,42.02,0,2053,338,0,52.53,29.17,472,2525,1741,750,44.93,1058,2799,0.32,-19729.14,-3.29,0,-273.93,2525,544,70.4,20.7,91.11,-2.5,0,0,40.56,-56.16,579,-65.59,0,0,58.5,0,58.5,-3.97,-11.06,638,0,638,-1014.95,-1014.95,0,19.32,-357.33,208,36.65,0,44.65999985,2.31,19.33333327,0.034411881,0.552301255,0.807531381,0.363556485,-0.317197824,1.179207352,-10.21793889,0.615062762
2013 Q3,VRSN,VERISIGN INC,0.61%,1,2013-09-30,244,46.55,197,17.46,46.96,0,64.41,133,-25.71,107,26.1,80.9,0,80.9,0,80.9,148,133,0.57,0.53,1807,14.82,0,39.85,0,1862,338,0,52.53,29.51,468,2330,1764,750,44.9,1060,2824,0.32,-19648.24,-3.21,0,-493.82,2330,544,70.4,20.7,91.11,-2.5,0,0,40.56,-56.16,579,-65.59,0,0,58.5,0,58.5,-3.97,-11.06,638,0,638,-1014.95,-1014.95,0,19.32,-357.33,208,36.65,0,50.88999939,2.38,21.38235268,0.03472103,0.545081967,0.807377049,0.331557377,-0.163824875,1.055555556,-5.718682921,0.606557377
2013 Q4,VRSN,VERISIGN INC,0.63%,0,2013-12-31,246,46.58,199,17.77,51.12,0,68.88,130,-13.73,116,-175.7,292,0,292,0,292,155,130,2.07,1.89,1723,13.63,0,0,66.28,1803,340,0,52.53,27.75,858,2661,2029,750,44.52,1055,3084,0.32,-19356.1,-3.09,0,-423.56,2661,544,70.4,20.7,91.11,-2.5,0,0,40.56,-56.16,579,-65.59,0,0,58.5,0,58.5,-3.97,-11.06,638,0,638,-1014.95,-1014.95,0,19.32,-357.33,208,36.65,0,59.77999878,3.77,15.8567636,0.109733183,0.528455285,0.808943089,1.18699187,-0.689394655,0.888615081,-7.281140806,0.630081301
2014 Q1,VRSN,VERISIGN INC,0.60%,1,2014-03-31,249,48.03,201,18.44,42.75,0,61.19,140,-14.87,125,30.29,94.42,0,94.42,0,94.42,156,140,0.71,0.64,1717,72.99,0,0,0,1790,330,0,52.53,27.3,819,2609,2044,750,7.54,1023,3067,0.32,-19261.67,-3.07,0,-457.62,2609,355,74.57,36.15,111,-0.07,0,0,46.09,135,601,-39.33,0,0,152,0,152,0.45,113,0,0,0,-865.81,-865.81,0,6.05,-859.75,-147.62,43.98,0,53.90999985,3.93,13.71755721,0.036190111,0.562248996,0.807228916,0.379196787,-0.206328395,0.875733855,-6.702067217,0.626506024
2014 Q2,VRSN,VERISIGN INC,0.59%,1,2014-06-30,250,45.99,204,15.69,45.58,0,61.27,143,-16.5,127,26.45,100,0,100,0,100,159,143,0.77,0.71,1545,51.57,0,0,0,1597,324,0,52.53,26.69,726,2323,1843,750,95.83,1112,2955,0.32,-19161.5,-3.11,0,-632.85,2323,355,74.57,36.15,111,-0.07,0,0,46.09,135,601,-39.33,0,0,152,0,152,0.45,113,0,0,0,-865.81,-865.81,0,6.05,-859.75,-147.62,43.98,0,48.81000137,4.12,11.84708771,0.043047783,0.572,0.816,0.4,-0.158015327,0.866521975,-4.669352927,0.636
2014 Q3,VRSN,VERISIGN INC,0.66%,0,2014-09-30,255,46.93,208,16.32,52.27,0,68.59,140,-28.01,111,16.31,95.19,0,95.19,0,95.19,155,140,0.77,0.69,1475,48.27,0,0,0,1523,319,0,52.53,26.67,684,2207,1849,750,88.84,1107,2956,0.32,-19066.31,-3.05,0,-748.75,2207,355,74.57,36.15,111,-0.07,0,0,46.09,135,601,-39.33,0,0,152,0,152,0.45,113,0,0,0,-865.81,-865.81,0,6.05,-859.75,-147.62,43.98,0,55.11999893,4.32,12.75925901,0.043130947,0.549019608,0.815686275,0.373294118,-0.127131886,0.82368848,-3.947913189,0.607843137
2014 Q4,VRSN,VERISIGN INC,0.68%,0,2014-12-31,256,47.48,208,17.32,48.9,0,66.22,142,-21.75,120,55,65.47,0,65.47,0,65.47,169,142,0.55,0.48,1425,13.45,0,0,41.66,1480,319,0,52.53,15.92,421,1901,1432,740,98.72,1352,2785,0.32,-19000.84,-3,0,-883.47,1901,355,74.57,36.15,111,-0.07,0,0,46.09,135,601,-39.33,0,0,152,0,152,0.45,113,0,0,0,-865.81,-865.81,0,6.05,-859.75,-147.62,43.98,0,57,2.8,20.35714286,0.034439769,0.5546875,0.8125,0.255742188,-0.074105516,1.033519553,-3.152342468,0.66015625
2015 Q1,VRSN,VERISIGN INC,0.81%,0,2015-03-31,258,48.35,210,17.15,48.68,0,65.83,144,-27.57,117,28.43,88.24,0,88.24,0,88.24,163,144,0.75,0.66,1871,14.66,0,0,54.01,1940,312,0,52.53,36.82,668,2608,1922,1250,107,1633,3556,0.32,-18912.6,-2.92,0,-947.88,2608,375,71.94,49.51,121,0,0,0,69.92,173,670,-40.66,0,0,-452.3,0,-452.3,-3.94,-496.9,492,0,492,-628.48,-628.48,0,0,-136.24,37.05,46.08,0,66.97000122,2.84,23.58098635,0.033834356,0.558139535,0.813953488,0.342015504,-0.093091953,1.009365245,-3.75152973,0.631782946
2015 Q2,VRSN,VERISIGN INC,0.73%,0,2015-06-30,263,48.22,214,16.35,49.01,0,65.35,149,-25.3,124,30.65,93.01,0,93.01,0,93.01,168,149,0.8,0.7,1885,14.42,0,0,31.28,1931,304,0,52.53,22.38,640,2571,1946,1234,107,1619,3565,0.32,-18819.59,-3.13,0,-994.32,2571,375,71.94,49.51,121,0,0,0,69.92,173,670,-40.66,0,0,-452.3,0,-452.3,-3.94,-496.9,492,0,492,-628.48,-628.48,0,0,-136.24,37.05,46.08,0,61.72000122,2.87,21.50522691,0.036176585,0.566539924,0.813688213,0.35365019,-0.093541315,0.992291881,-3.585364872,0.63878327
2015 Q3,VRSN,VERISIGN INC,0.72%,0,2015-09-30,266,47.22,219,15.02,49.08,0,64.1,154,-32.52,122,29.49,92.46,0,92.46,0,92.46,173,154,0.82,0.7,1891,14.71,0,0,35.47,1941,297,0,52.53,24.1,636,2577,1980,1235,114,1629,3609,0.32,-18727.13,-2.59,0,-1031.41,2577,375,71.94,49.51,121,0,0,0,69.92,173,670,-40.66,0,0,-452.3,0,-452.3,-3.94,-496.9,492,0,492,-628.48,-628.48,0,0,-136.24,37.05,46.08,0,70.55999756,2.92,24.16438273,0.035878929,0.578947368,0.823308271,0.347593985,-0.089644273,0.98030303,-3.499093474,0.65037594
2015 Q4,VRSN,VERISIGN INC,0.86%,0,2015-12-31,273,49,224,15.2,50.15,0,65.35,158,-32.9,125,23.85,102,0,102,0,102,175,158,0.92,0.76,1915,12.64,0,0,39.86,1968,296,0,54.53,22.36,390,2358,1503,1235,115,1925,3428,0.32,-18625.6,-3.99,0,-1070.45,2358,375,71.94,49.51,121,0,0,0,69.92,173,670,-40.66,0,0,-452.3,0,-452.3,-3.94,-496.9,492,0,492,-628.48,-628.48,0,0,-136.24,37.05,46.08,0,87.36000061,3.29,26.55319167,0.043256997,0.578754579,0.820512821,0.373626374,-0.095287029,1.309381238,-3.202391518,0.641025641
2016 Q1,VRSN,VERISIGN INC,0.89%,0,2016-03-31,282,50.58,231,16.74,47.78,0,64.53,167,-25.68,141,33.63,107,0,107,0,107,185,167,0.98,0.82,1896,16.19,0,0,34.04,1946,286,0,52.53,23.56,378,2324,1482,1236,115,1950,3432,0.32,-18518.14,-3.12,0,-1108.02,2324,441,66.05,36,102,0,0,0,22.46,150,693,-26.57,-143,0,127,0,127,0,-42.73,0,0,0,-648.82,-648.82,0,0,-648.82,0.95,50.04,0,88.54000092,3.52,25.15340935,0.046041308,0.592198582,0.819148936,0.379432624,-0.096568654,1.313090418,-3.097417014,0.656028369
2016 Q2,VRSN,VERISIGN INC,0.86%,-1,2016-06-30,286,48.75,238,14.29,47.16,0,61.45,176,-27.15,149,35.91,113,0,113,0,113,194,176,1.05,0.87,1907,15.09,0,0,22.57,1945,278,0,52.53,25.84,370,2314,1476,1236,115,1965,3442,0.32,-18404.93,-2.19,0,-1127.33,2314,441,66.05,36,102,0,0,0,22.46,150,693,-26.57,-143,0,127,0,127,0,-42.73,0,0,0,-648.82,-648.82,0,0,-648.82,0.95,50.04,0,86.45999908,3.77,22.93368676,0.048833189,0.615384615,0.832167832,0.395104895,-0.100236843,1.317750678,-3.053231973,0.678321678
2016 Q3,VRSN,VERISIGN INC,0.79%,0,2016-09-30,288,49.81,238,14.32,48.65,0,62.97,175,-25.66,149,34.69,114,0,114,0,114,193,175,1.08,0.9,1758,15.77,0,0,21.49,1795,270,0,198,22.5,503,2298,1482,1237,117,1985,3467,0.32,-18290.51,-2.69,0,-1169.24,2298,441,66.05,36,102,0,0,0,22.46,150,693,-26.57,-143,0,127,0,127,0,-42.73,0,0,0,-648.82,-648.82,0,0,-648.82,0.95,50.04,0,78.23999786,4.03,19.41439153,0.049608355,0.607638889,0.826388889,0.395833333,-0.09749923,1.21120108,-2.965173959,0.670138889
2016 Q4,VRSN,VERISIGN INC,0.67%,0,2016-12-31,286,49.1,237,13.75,54.66,0,68.41,169,-26.91,142,36.3,106,0,106,0,106,181,169,1.01,0.83,1798,0,0,0,44.44,1842,266,0,198,19.19,492,2335,1522,1237,117,2013,3535,0.32,-18184.95,-3.45,0,-1200.6,2335,441,66.05,36,102,0,0,0,22.46,150,693,-26.57,-143,0,127,0,127,0,-42.73,0,0,0,-648.82,-648.82,0,0,-648.82,0.95,50.04,0,76.06999969,4.12,18.46359216,0.045396146,0.590909091,0.828671329,0.370629371,-0.088289189,1.210249671,-2.944361153,0.632867133
2017 Q1,VRSN,VERISIGN INC,0.70%,0,2017-03-31,289,50.67,238,13.34,49.33,0,62.67,175,-27.72,148,31.14,116,0,116,0,116,190,175,1.14,0.94,1786,0,0,0,30.85,1817,262,0,198,18.15,498,2316,1499,1238,113,2004,3503,0.33,-18023.17,-3.11,0,-1187.75,2316,457,35.02,42.76,77.78,0,0,0,39.12,168,703,-49.5,0,11.75,-367.67,0,-367.67,0,-405.42,543,0,543,-608.26,-608.26,0,0,-65.07,234,52.91,0,87.11000061,4.28,20.35280388,0.050086356,0.605536332,0.823529412,0.401384083,-0.09766365,1.212141428,-2.949273837,0.657439446
2017 Q2,VRSN,VERISIGN INC,0.74%,0,2017-06-30,289,47.64,241,13.51,52.44,0,65.95,175,-15.09,160,36.77,123,0,123,0,123,188,175,1.22,0.99,1808,0,0,0,35.65,1844,262,0,198,20.12,500,2344,1523,1238,112,2024,3547,0.33,-17900.07,-2.89,0,-1203.16,2344,457,35.02,42.76,77.78,0,0,0,39.12,168,703,-49.5,0,11.75,-367.67,0,-367.67,0,-405.42,543,0,543,-608.26,-608.26,0,0,-65.07,234,52.91,0,92.95999908,4.45,20.88988743,0.052474403,0.605536332,0.833910035,0.425605536,-0.102230792,1.210768221,-2.948070082,0.650519031
2017 Q3,VRSN,VERISIGN INC,0.78%,0,2017-09-30,292,47.33,245,12.72,51.32,0,64.04,181,-31.52,150,34.65,115,0,115,0,115,193,181,1.15,0.93,2366,0,0,0,40.29,2406,265,0,198,19.05,502,2908,1536,1782,130,2603,4138,0.33,-17797.63,-3.15,0,-1229.94,2908,457,35.02,42.76,77.78,0,0,0,39.12,168,703,-49.5,0,11.75,-367.67,0,-367.67,0,-405.42,543,0,543,-608.26,-608.26,0,0,-65.07,234,52.91,0,106.3899994,4.52,23.53761048,0.03954608,0.619863014,0.839041096,0.393835616,-0.093500496,1.56640625,-3.364391759,0.660958904
2017 Q4,VRSN,VERISIGN INC,0.78%,0,2017-12-31,296,47.68,248,12.77,58.62,0,71.39,176,-34.39,142,39.21,103,0,103,0,103,172,176,1.05,0.82,2415,0,0,0,31.4,2446,264,0,198,18.6,495,2941,1561,1783,128,2641,4201,0.33,-17694.79,-2.94,0,-1260.27,2941,457,35.02,42.76,77.78,0,0,0,39.12,168,703,-49.5,0,11.75,-367.67,0,-367.67,0,-405.42,543,0,543,-608.26,-608.26,0,0,-65.07,234,52.91,0,114.4400024,4.56,25.09649176,0.035022101,0.594594595,0.837837838,0.347972973,-0.081728518,1.566944266,-3.333412681,0.581081081
2018 Q1,VRSN,VERISIGN INC,0.81%,0,2018-03-31,299,48.15,251,15.38,50.34,0,65.72,185,-32.98,152,18.17,134,0,134,0,134,193,185,1.38,1.09,2356,0,0,0,52.07,2409,258,0,198,26.31,497,2905,1549,1783,304,2591,4140,0.33,-17538.02,-2.7,0,-1234.73,2905,582,30.11,12.31,42.42,0,0,0,20.87,72.86,698,-37.01,0,52.24,1055,0,1055,-0.16,1070,-1250.01,0,-1250.01,-625.32,-625.32,0,0,-1875.33,-108.39,52.5,0,118.5599976,4.8,24.69999949,0.046127367,0.618729097,0.839464883,0.448160535,-0.108525751,1.555196901,-3.352959756,0.64548495
2018 Q2,VRSN,VERISIGN INC,0.91%,0,2018-06-30,302,47.37,255,13.76,48.32,0,62.08,193,-28.13,165,36.53,128,0,128,0,128,202,193,1.13,1.04,1171,0,0,0,57.64,1229,256,0,198,27.18,683,1912,921,1784,299,2371,3293,0.35,-17409.66,-2.68,0,-1380.99,1912,582,30.11,12.31,42.42,0,0,0,20.87,72.86,698,-37.01,0,52.24,1055,0,1055,-0.16,1070,-1250.01,0,-1250.01,-625.32,-625.32,0,0,-1875.33,-108.39,52.5,0,137.4199982,4.71,29.17622042,0.066945607,0.639072848,0.844370861,0.42384106,-0.09268713,1.33441911,-2.384521249,0.668874172
2018 Q3,VRSN,VERISIGN INC,0.94%,0,2018-09-30,306,48.25,258,13.71,48.82,0,62.53,195,-16.7,178,40.62,138,0,138,0,138,202,195,1.13,1.13,1179,0,0,0,57.02,1236,256,0,198,27.08,649,1885,914,1784,301,2372,3286,0.35,-17271.98,-3,0,-1401.1,1885,582,30.11,12.31,42.42,0,0,0,20.87,72.86,698,-37.01,0,52.24,1055,0,1055,-0.16,1070,-1250.01,0,-1250.01,-625.32,-625.32,0,0,-1875.33,-108.39,52.5,0,160.1199951,4.69,34.14072391,0.073209549,0.637254902,0.843137255,0.450980392,-0.09849404,1.352297593,-2.345300121,0.660130719
2018 Q4,VRSN,VERISIGN INC,1.05%,0,2018-12-31,307,48.37,259,15.04,50.08,0,65.12,194,39.94,234,51.71,182,0,182,0,182,200,194,1.49,1.49,1270,0,0,0,47.37,1317,254,0,198,41.05,597,1915,948,1785,282,2352,3300,0.35,-17089.79,-2.81,0,-1385.47,1915,582,30.11,12.31,42.42,0,0,0,20.87,72.86,698,-37.01,0,52.24,1055,0,1055,-0.16,1070,-1250.01,0,-1250.01,-625.32,-625.32,0,0,-1875.33,-108.39,52.5,0,148.2899933,5.13,28.90643144,0.095039164,0.631921824,0.843648208,0.592833876,-0.131363364,1.389240506,-2.381863194,0.651465798
2019 Q1,VRSN,VERISIGN INC,1.18%,0,2019-03-31,306,45.5,261,16.13,44.52,0,60.65,200,-10.43,190,27.3,163,0,163,0,163,208,200,1.36,1.35,1253,0,0,0,62.28,1315,252,0,198,34.45,604,1920,941,1786,309,2385,3326,0.35,-16927.26,-2.76,0,-1406.13,1920,612,46.33,38.7,85.03,0,0,0,12.91,56.56,754,-40.32,0,-9.87,217,0,217,0,167,0,0,0,-769.43,-769.43,0,-0.87,-770.3,151,50.63,0,181.5599976,5.11,35.5303322,0.084895833,0.653594771,0.852941176,0.532679739,-0.115921003,1.397449522,-2.365357399,0.679738562
2019 Q2,VRSN,VERISIGN INC,1.30%,0,2019-06-30,306,44.07,262,14.95,45.58,0,60.53,202,-11.2,190,42.96,148,0,148,0,148,211,202,1.24,1.24,1225,0,0,0,70.44,1295,251,0,198,36.25,595,1890,935,1786,308,2380,3315,0.35,-16779.73,-2.73,0,-1425.17,1890,612,46.33,38.7,85.03,0,0,0,12.91,56.56,754,-40.32,0,-9.87,217,0,217,0,167,0,0,0,-769.43,-769.43,0,-0.87,-770.3,151,50.63,0,209.1600037,5.22,40.06896622,0.078306878,0.660130719,0.85620915,0.483660131,-0.10384726,1.385026738,-2.326038297,0.689542484
2019 Q3,VRSN,VERISIGN INC,1.14%,0,2019-09-30,308,44.44,264,14.62,43.74,0,58.36,206,-12.14,193,39.57,154,0,154,0,154,212,206,1.3,1.3,1230,0,0,0,68.14,1298,250,0,198,40.33,589,1887,961,1787,309,2378,3339,0.35,-16625.81,-2.42,0,-1451.92,1887,612,46.33,38.7,85.03,0,0,0,12.91,56.56,754,-40.32,0,-9.87,217,0,217,0,167,0,0,0,-769.43,-769.43,0,-0.87,-770.3,151,50.63,0,188.6300049,5.39,34.99629033,0.081611023,0.668831169,0.857142857,0.5,-0.10606645,1.350676379,-2.299713483,0.688311688
2019 Q4,VRSN,VERISIGN INC,1.03%,0,2019-12-31,311,46.45,264,15.1,50.42,0,65.52,199,-13.59,185,36.65,148,0,148,0,148,221,199,1.27,1.26,1218,0,0,0,60.53,1279,250,0,198,39.81,575,1854,965,1788,313,2379,3344,14990,-16477.49,-2.62,0,-1490.1,1854,612,46.33,38.7,85.03,0,0,0,12.91,56.56,754,-40.32,0,-9.87,217,0,217,0,167,0,0,0,-769.43,-769.43,0,-0.87,-770.3,151,50.63,0,192.6799927,5.17,37.26885738,0.0798274,0.639871383,0.848874598,0.475884244,-0.099322193,1.325388601,-2.244144688,0.710610932
2020 Q1,VRSN,VERISIGN INC,1.31%,-1,2020-03-31,313,45.57,267,17.36,43.33,0,60.69,206,-15.45,191,-143.3,334,0,334,0,334,217,206,2.87,2.86,1139,0,0,0,46.86,1185,248,0,198,38.69,568,1754,956,1788,138,2207,3163,14735,-16143.37,-0.36,0,-1409.11,1754,815,46.4,39.1,85.5,0,0,0,19.8,-170.2,730,-43.4,0,20.8,2306,-2355.4,-49.7,0,-72.3,0,0,0,-764.9,-764.9,0,0,-764.9,-107,48.2,0,180.0899963,6.68,26.95958029,0.190421893,0.658146965,0.853035144,1.067092652,-0.237029047,1.239539749,-2.244679266,0.693290735
2020 Q2,VRSN,VERISIGN INC,1.31%,0,2020-06-30,314,43.61,271,18.2,45.78,0,63.98,207,-15.13,192,39.17,152,0,152,0,152,218,207,1.32,1.32,1195,0,0,0,55.08,1250,250,0,198,40.61,570,1820,1018,1789,132,2202,3220,14593,-15990.89,-2.36,0,-1400.32,1820,815,46.4,39.1,85.5,0,0,0,19.8,-170.2,730,-43.4,0,20.8,2306,-2355.4,-49.7,0,-72.3,0,0,0,-764.9,-764.9,0,0,-764.9,-107,48.2,0,206.8300018,6.76,30.59615412,0.083516484,0.659235669,0.863057325,0.484076433,-0.108546618,1.227897839,-2.299474406,0.694267516
2020 Q3,VRSN,VERISIGN INC,1.11%,0,2020-09-30,318,45.02,273,19.71,46.5,0,66.21,207,-21.76,185,13.91,171,0,171,0,171,218,207,1.49,1.49,1150,0,0,0,55.77,1206,249,0,198,35.16,558,1764,978,1789,101,2173,3151,14436,-15819.92,-2.74,0,-1386.25,1764,815,46.4,39.1,85.5,0,0,0,19.8,-170.2,730,-43.4,0,20.8,2306,-2355.4,-49.7,0,-72.3,0,0,0,-764.9,-764.9,0,0,-764.9,-107,48.2,0,204.8500061,6.95,29.47482102,0.096938776,0.650943396,0.858490566,0.537735849,-0.123354373,1.233128834,-2.273038774,0.685534591
2020 Q4,VRSN,VERISIGN INC,1.03%,0,2020-12-31,320,46,274,19.43,50.4,0,69.83,205,-21.66,183,25.53,157,0,157,0,157,216,205,1.4,1.4,1167,0,0,0,51.03,1218,246,0,198,37.96,549,1767,989,1790,95.49,2168,3157,14275,-15662.6,-2.76,0,-1390.2,1767,815,46.4,39.1,85.5,0,0,0,19.8,-170.2,730,-43.4,0,20.8,2306,-2355.4,-49.7,0,-72.3,0,0,0,-764.9,-764.9,0,0,-764.9,-107,48.2,0,216.3999939,7.08,30.56497089,0.08885116,0.640625,0.85625,0.490625,-0.112933391,1.231547017,-2.270896274,0.675
2021 Q1,VRSN,VERISIGN INC,0.94%,0,2021-03-31,324,47,277,20.3,45.9,0,66.2,210,-22.1,188,37.9,150,0,150,0,150,222,210,1.33,1.33,1181,0,0,0,54.37,1236,241,0,198,41.11,547,1783,1010,1791,95.44,2176,3187,14111,-15512.25,-2.75,0,-1403.76,1783,785,47.5,59.8,107,0,0,0,77.9,-84.9,807,-53,0,0,2655,-2870.7,-216.2,0,-269.2,-8.9,0,-8.9,-710.2,-710.2,0,0,-719.1,-181.8,53.4,0,198.7599945,5.54,35.87725533,0.084127874,0.648148148,0.854938272,0.462962963,-0.106855873,1.223762376,-2.270331111,0.685185185
2021 Q2,VRSN,VERISIGN INC,1.00%,0,2021-06-30,329,47.8,282,19.8,48.8,0,68.6,213,-25.1,188,40.2,148,0,148,0,148,225,213,1.31,1.31,1123,0,0,0,66.08,1189,248,0,198,40.65,552,1741,998,1785,86.3,2161,3159,13950,-15364.48,-2.83,0,-1417.79,1741,785,47.5,59.8,107,0,0,0,77.9,-84.9,807,-53,0,0,2655,-2870.7,-216.2,0,-269.2,-8.9,0,-8.9,-710.2,-710.2,0,0,-719.1,-181.8,53.4,0,227.6900024,5.53,41.17359899,0.085008616,0.647416413,0.857142857,0.449848024,-0.104387815,1.191382766,-2.228115588,0.683890578
